fecha,codigo_modelo,descripcion,c0_t,c_t,d_t,lambda_t,pi_estrella_t,inflacion,expectativa,meta_inflacion,brecha_ancla_meta,ancla_dentro_banda_meta
2022-11-01,B0,Modelo base TVP-VAR,2.657986203063409,0.08969114362795363,0.2520246348694625,0.8800881047568985,4.037748614111323,9.17,4.8,4,0.03774861411132324,TRUE
2022-12-01,B0,Modelo base TVP-VAR,2.6463101716059363,0.08806169670870855,0.25202463486946247,0.8822665814757951,4.010085406981396,9.24,4.71,4,0.010085406981396261,TRUE
2023-01-01,B0,Modelo base TVP-VAR,2.629903891141255,0.08605968903828162,0.2520246348694625,0.8849431504695848,3.973170580680895,9.69,4.62,4,-0.026829419319104986,TRUE
2023-02-01,B0,Modelo base TVP-VAR,2.61269624237055,0.08399408271814394,0.2520246348694625,0.8877047471964732,3.934894418827646,9.92,4.49,4,-0.06510558117235421,TRUE
2023-03-01,B0,Modelo base TVP-VAR,2.6057700670834945,0.08278417909050975,0.25202463486946247,0.8893223186888486,3.9173250063579355,8.71,4.43,4,-0.08267499364206454,TRUE
2023-04-01,B0,Modelo base TVP-VAR,2.611939023529141,0.08269002137789215,0.2520246348694625,0.8894482021296771,3.9260432355177004,8.32,4.39,4,-0.0739567644822996,TRUE
2023-05-01,B0,Modelo base TVP-VAR,2.6240799592360626,0.08304262976069907,0.2520246348694625,0.8889767850225838,3.9463840771450944,6.54,4.3,4,-0.05361592285490557,TRUE
2023-06-01,B0,Modelo base TVP-VAR,2.648583057466566,0.08427864656868857,0.25202463486946247,0.8873243017114874,3.990652633036558,4.93,4.24,4,-0.00934736696344185,TRUE
2023-07-01,B0,Modelo base TVP-VAR,2.677513469802838,0.08576335539391036,0.25202463486946247,0.8853393314912947,4.0432873920056664,4.53,4.21,4,0.04328739200566645,TRUE
2023-08-01,B0,Modelo base TVP-VAR,2.702259222579191,0.0870708694843477,0.25202463486946247,0.8835912604298779,4.088728765473287,4.47,4.17,4,0.08872876547328712,TRUE
